upregulated,downregulated
PIK3R1,IMPA2
FXR2,JTB
RERGL,ATP5MK
TGFB2,DECR2
ZDHHC21,MRLN
BPTF,HLA-B
PRMT1,MRPS24
KCNB1,MACROD1
TNPO1,POTEF
FRG1,NDUFA7
HSPA5,EFHD1
ATP2B1,DGLUCY
RBM25,MT-CO1
NSUN6,FBLN2
DDX6,CHCHD10
PTMA,ABHD14A
PNISR,TSG101
PRDX1,ATP5F1A
NUCKS1,GABARAP
LIMA1,SLC29A1
SFMBT1,MRPL36
MALAT1,ATP5F1D
SNHG25,ATRAID
APPL1,CEBPD
NDRG2,HCFC1
CHD2,COX6A2
RLF,NDUFS7
P2RY1,ADH1B
NPR3,DBET
ZMYND11,NDUFC1
ZBTB20,ADD1
SELENOK,SLC41A3
FXR1,VPS28
DNAJC7,PCBD1
CEBPZ,ALKBH7
BCYRN1,NDUFB1
CD99L2,PFDN5
KMT2A,NDUFB3
WNK1,NPAS2
RN7SL5P,
SYF2,
BTBD7,
MIR133A1HG,
MYL5,
DYNC1H1,
MYOM1,
PPP1R3A,
EZR,
CAVIN1,
CSDE1,
MAN1A2,
MMS19,
EIF3A,
DST,
LUC7L3,
DYNC1LI2,
YTHDF3,
CNOT11,
MYOM2,
ASPH,
VMO1,
SYNE2,
EIF5B,
NBR1,
DENND5B,
S100A4,
SMARCC1,
FBXW7,
